Portable Nuclear Cardiology Ejection Fraction Monitor,Gerald Entine,,Phase I,Radiation Monitoring Devices Inc.,50000,,JSC
Soft X-Ray Window Encapsulant for Mercuric Iodide Detectors,Gerald Entine,,Phase I,Radiation Monitoring Devices Inc.,50000,,JPL
Automatic Contamination Evaluator for Optical Surfaces, ,,Phase I,Acton Research Corp,49000,,MSFC
Rayleigh Scattering as a High-Temperature Combustion Diagnostic Method,Herman Scott,,Phase I,Aerodyne Research Inc.,50000,,GRC
Concave Grating Optical Demultiplexers-Wavelength Division Multiplexer, ,,Phase I,American Holographic Inc,48000,,LaRC
Advanced Powder-Metallurgy Aluminum Alloys via Rapid Solidification Technology,Ranjan Ray,,Phase I,Marko Materials Inc,50000,,LaRC
Solar-Pumped Alkali-Vapor Laser,Byron David Green,,Phase I,Physical Sciences Inc.,50000,,LaRC
Space-Qualified Submillimeter Radiometer,Willie Day,,Phase I,Millitech Corp,50000,,JPL
New Fiber Fluorescence Immunoassay, ,,Phase I,ORD Inc,49000,,JSC
Flight Recorder with Hazard Detection Capability,Heinz Wartski,,Phase I,Fleet Tech Inc,50000,,GSFC
Holographic Detection of Combustion Stream Droplets,Herman Scott,,Phase I,Aerodyne Research Inc.,50000,,GRC
Positive Electrode for Bipolar Ni-H2 Batteries,Jose Giner,,Phase I,Giner Inc.,50000,,GRC
Portable Nuclear Cardiology Ejection Fraction Monitor,Gerald Entine,,Phase II,Radiation Monitoring Devices Inc.,459000,,JSC
Soft X-Ray Window Encapsulant for Mercuric Iodide Detectors,Gerald Entine,,Phase II,Radiation Monitoring Devices Inc.,358000,,JPL
Dry-Film Lubricant for Bearings Using Ion Implantation,Richard Gregorio,,Phase II,Spire Corporation,195995,,MSFC
Automatic Contamination Evaluator for Optical Surfaces, ,,Phase II,Acton Research Corp,429000,,MSFC
Space-Qualified Submillimeter Radiometer,Willie Day,,Phase II,Millitech Corp,500000,,JPL
Advanced Powder-Metallurgy Aluminum Alloys via Rapid Solidification Technology,Ranjan Ray,,Phase II,Marko Materials Inc,236820,,LaRC
New Fiber Fluorescence Immunoassay, ,,Phase II,ORD Inc,451000,,JSC
Analytical Model of the Structureborne Interior Noise Induced by a Propeller Wake,Joel Garrelick,,Phase II,Cambridge Acoustical Assoc Inc,317884,,LaRC
Rayleigh Scattering as a High-Temperature Combustion Diagnostic Method,Herman Scott,,Phase II,Aerodyne Research Inc.,433393,,GRC
Small High-Rate Battery for Distress Transmitters,Alfred Ajami,,Phase II,ECO Energy Conversion,256000,,GSFC
Towed Sensor for Sea Water Nutrient Analysis,Dennis Crouse,,Phase I,Sea Data Corp,50000,,JPL
Solid-State Laser-Scanning Device, ,,Phase I,Sparta Inc,50000,,JSC
Hydrogen-Oxygen Concentration Monitor,Fritz Bien,,Phase I,Spectral Sciences Inc.,50000,,KSC
Dry-Film Lubricant for Bearings Using Ion Implantation,Richard Gregorio,,Phase I,Spire Corporation,50000,,MSFC
Small High-Rate Battery for Distress Transmitters,Fraser Walsh,,Phase I,ECO Energy Conversion,50000,,GSFC
Analytical Model of the Structureborne Interior Noise Induced by a Propeller Wake,Joel Garrelick,,Phase I,Cambridge Acoustical Assoc Inc,50000,,LaRC
