Modular Chemical-Mechanical Heat Pump for Spacecraft Thermal-Bus Applications,Robert Scaringe,,Phase I,Mainstream Engineering Corporation,49997,,GSFC
Improved System for SCAPE Suit Heating,Robert Scaringe,,Phase I,Mainstream Engineering Corporation,49959,,KSC
Reliable Specification for Ada Software,Edward Comer,,Phase I,Software Productivity Solutions Inc,47500,,LaRC
Multichannel Acousto-Optic Bragg Cell Spectrum Analyzer System,Robert Belfatto,,Phase I,Newport Electro-Optics Systems Inc,49763,,GSFC
Ion-Mobility Sensing of Extraterrestrial Volatiles from a Gas Chromatograph,M. J. Cohen,,Phase I,PCP Inc,50000,,ARC
Wideband Acousto-Optic Spectrometer,Dennis Pape,,Phase I,Photonic Systems Inc,49817,,JPL
Design Knowledge Capture,Edward Comer,,Phase I,Software Productivity Solutions Inc,49093,,MSFC
Multichannel Acousto-Optic Bragg Cell Spectrum Analyzer System,Robert Belfatto,,Phase II,Newport Electro-Optics Systems Inc,473035,,GSFC
Ion-Mobility Sensing of Extraterrestrial Volatiles from a Gas Chromatograph,M. J. Cohen,,Phase II,PCP Inc,500000,,ARC
Reliable Specification and Execution Tool for Ada Software,Peter Dyson,,Phase II,Software Productivity Solutions Inc,498840,,LaRC
Modular Chemical-Mechanical Heat Pump for Spacecraft Thermal-Bus Applications,Robert Scaringe,,Phase II,Mainstream Engineering Corporation,490105,,GSFC
Improved System for SCAPE Suit Heating,Robert Scaringe,,Phase II,Mainstream Engineering Corporation,490700,,KSC
