Heterostructure Infrared Detectors for Use at Wavelengths Longer than 14 Microns,Darryl Coon,,Phase I,Microtronics Assoc Inc,50000,,JPL
Conceptual Design of Ramfan Hypersonic Engine,Calvin Silverstei,,Phase I,CCS Assoc,49920,,GRC
Robotic Adaptive Grasping with a Capacitance-Array Tactile Sensor System,C. Gary Dinsel,,Phase I,Extrude Hone Corp,50000,,JSC
Liquid Membrane Emulsions in Cell Culture,William Armiger,,Phase I,Biochem Technology Inc,50000,,JSC
Variable-G Facility for LIFESAT,David Chapman,,Phase I,Micro-G Research Inc,49761,,ARC
Magnetic Beneficiation of Lunar Soil,Marcia Oder,,Phase I,Exportech Co Inc,50000,,JSC
Artificial Intelligence System Process for Monitoring Situation Assessment and Response Planning,Harry Pople,,Phase I,Seer Systems Inc,49364,,JSC
Fiber-Optic Fluid Flow Sensor,Laurence Wesson,,Phase I,Aurora Optics Inc,50000,,GRC
Liquid Membrane Emulsions in Cell Culture,William Armiger,,Phase II,Biochem Technology Inc,498568,,JSC
Artificial Intelligence System Process for Monitoring Situation Assessment and Response Planning,Harry Pople,,Phase II,Seer Systems Inc,488250,,JSC
Robotic Adaptive Grasping with a Capacitance-Array Tactile Sensor System,C. Gary Dinsel,,Phase II,Extrude Hone Corp,407600,,JSC
Lightweight Permanent-Magent Actuators and Manipulators,S. G. Snakar,,Phase I,Advanced Material Corp,49257,,MSFC
Heterostructure Infrared Detectors for Use at Wavelengths Longer than 14 Microns,Darryl Coon,,Phase II,Microtronics Assoc Inc,497582,,JPL
