Diagnostic Control By Means Of Model Based Reasoning,Paul Olinski,,Phase I,Synetics Corp,49923,,JSC
Cryogenic Refrigeration Systems,David Bloomfield,,Phase I,Analytic Power Corp,49872,,JPL
Integrating And Coordinating Intelligent Planning And Scheduling Tools,David Innis,,Phase I,Symbiotics Inc,49968,,KSC
Remote Wireless Monitoring Of Positron Escape For Gauging Temperature And Strain,Robert Evans,,Phase I,Spire Corporation,48956,,GRC
Pyroelectric Detectors By Epitaxial Cvd Growth On Silicon,Robert Evans,,Phase I,Spire Corporation,49655,,JPL
Radiation Hardening Of Charge Coupled Devices,Robert Evans,,Phase I,Spire Corporation,49986,,GSFC
High-Tc Superconducting Composites For Interconnects To Cryogenic Equipment,A. C. Makrides,,Phase I,EIC Laboratories Inc.,49983,,LaRC
Small Liquid Pump For Space Thermal Systems,Adi Guzdar,,Phase I,Foster-Miller Inc,50000,,GSFC
Liquid Crystal Polymers For Cte Matched Pwb&#039;S,Adi Guzdar,,Phase I,Foster-Miller Inc,50000,,GSFC
Recovery Of Oxygen From Lunar Soils In A Plasma Reactor,Adi Guzdar,,Phase I,Foster-Miller Inc,50000,,JSC
High-Gain Sheared MCPs Using an Innovative Boule Design,Peter Graves,,Phase I,Detector Technology Inc,49939,,GSFC
Solid-State Phase Change Materials For Low Temperature Applications,Katherine Finnegan,,Phase I,Cape Cod Research Inc.,49500,,MSFC
An Iodine Standard Lamp,Michael Finson,,Phase I,Physical Sciences Inc.,49016,,GSFC
Electrocatalysts For High Efficiency Solid Polymer Electrolyte Fuel Cell,Michael Finson,,Phase I,Physical Sciences Inc.,50000,,GRC
An Integrated Arm-Wrist-Hand System for Whole-Arm Manipulation,William Townsend,,Phase I,Barrett Technology,50000,,JSC
Enhanced Methods For Planetary Gear Systems,Richard Hayden,,Phase I,Technology Integration Inc,50000,,GRC
Hybrid Neural Network/Expert System Environment,Alper Caglayan,,Phase I,Charles River Analytics Inc.,50000,,JSC
Testing Methodology For High Reliability Software,Greg Zacharias,,Phase I,Charles River Analytics Inc.,50000,,LaRC
Nmic Circulator For Spacecraft Data Transfer Applications,S. Francis Paik,,Phase I,Hittite Microwave Corporation,48082,,GSFC
Noninvasive Blood Analysis During Manned Space Flight,S. B. Cunningham,,Phase I,Boston Advanced Technologies Inc,50000,,JSC
Force-Feedback Anthropomorphic Teleoperation Input Device for Control of Robot Hands,Beth Marcus,,Phase I,Exos Inc,49690,,MSFC
Computational Environment For Microgravity Materials Processing Simulations,Steven Orszag,,Phase I,Nektonics Inc,49895,,GRC
Supercritical Water Reactor For Space Applications,William Killilea,,Phase I,Modar Inc,50000,,JSC
An Exoskeleton Arm Master for Robot Control,Beth Marcus,,Phase I,Exos Inc,50000,,JSC
Intelligent Processor For Space Station Life Support System,James Stark Draper,,Phase I,Ktaadn Inc,49724,,MSFC
Buried Hetrostructure Pbeusete/Pbsnte Long Wavelength Tunable Diode Lasers,Mark Fukuhara,,Phase I,Laser Photonics Inc Analytics Division,49286,,GSFC
New Distributed Fiber Optic Sensors Based On Counterpropogating Waves,J. Wilbur Hicks,,Phase I,American Micro-Optical Inc,49720,,GRC
Flywheel Energy Storage For Electromechanical Actuation Systems,David Eisenhaure,,Phase I,Satcon Technology Corp,49880,,GRC
Overcharge Protection Additives For Rechargeable Lithium Batteries,Victor Koch,,Phase I,Covalent Assoc Inc,50000,,JPL
Magnetic Bearings To Remove Stiction And Reduce Vibrations In Momentum Wheels,David Eisenhaure,,Phase I,Satcon Technology Corp,49647,,GSFC
