Applying Recognition-Primed Decision Making To Man-Machine Interface Design,Paula John,,Phase I,Klein Assoc Inc,50000,,ARC
Robot Fault-Tolerant Feedback System,James Karlen,,Phase I,Robotics Research Corp,49700,,JSC
Hypervelocity For Aerothermodynamic Experiments,John Barber,,Phase I,IAP Research Inc,50000,,LaRC
Pressure Infiltration Of Net-Shape Graphite Performs For Metal Matrix Composites,Max Lake,,Phase I,Space Exploration Assoc Inc,49530,,LaRC
Surface-Discharge Ac Plasma Color Flat Panel Display For Space Station Applications,Peter Friedman,,Phase I,Photonics Imaging,50000,,JSC
Capacitor Components For 2 K Detectors,C. F. Clark,,Phase I,Ceramphysics Inc,49697,,GSFC
Adaptation Of A Multichannel Structural Analyzer As An Integrated Controls/Structures Design And Analyses Tool,Gerald Zobrist,,Phase I,Zonic Corp,49555,,LaRC
Enhanced Computational Structural Methods For Aerospace Applications,William Verduin,,Phase I,Unicenter TNG Neugents,49369,,GRC
Improved Regenerator Materials for Cryocooolers,C. F. Clark,,Phase I,Ceramphysics Inc,49763,,GSFC
Robot Fault-Tolerant Feedback System,James Karlen,,Phase II,Robotics Research Corp,410700,,JSC
Hypervelocity Launcher for Aerothermodynamic Experiments,John Barber,,Phase II,IAP Research Inc,499005,,LaRC
Multichannel Structural Analyzer Applied as an Integrated Controls-Structures Design and Analysis Tool,James Webb,,Phase II,Zonic Corp,498000,,LaRC
Enhanced Computational Structural Methods for Aerospace Applications,William Verduin,,Phase II,Unicenter TNG Neugents,291997,,GRC
Surface-Discharge AC-Plasma Color Flat-Panel Display for Space Station Applications,Peter Friedman,,Phase II,Photonics Imaging,449910,,JSC
Improved Regenerator Materials for Cryocooolers,C. F. Clark,,Phase II,Ceramphysics Inc,420023,,GSFC
