Aeolian Tone Flow Meter Using Optical Fiber,Patty Shaw,,Phase I,Physical Optics Corporation Applied Technology Division,49989,,GRC
Spectroscopic Imaging Sensor Using Parallel Pixel Filtering,Patty Shaw,,Phase I,Physical Optics Corporation Applied Technology Division,49974,,MSFC
Miniature Laser Velocimeter,Olive Lee,,Phase I,Gemfire Corp,50000,,LaRC
Finite Element Analysis of Inflatable Antennas,Alan Hirasuna,,Phase I,L'Garde Inc.,50000,,JPL
Safe High Energy Aqueous Batteries for Manned Applications,J. Bitter,,Phase I,Electrochimica Corp,49000,,JSC
200 MHz Surface-Acoustic-Wave Resonator Micro-Deposition Monitor,W.D. Bowers,,Phase I,Femtometrics Inc,49695,,JPL
Feasible Path Analysis for Ada Test Case Generation,Richard Jullig,,Phase I,Kestrel Development Corp,49513,,JSC
Water Treatment by A Pervaporation Removal of Gas and Volatile Organic Compounds,E.G. Weiss,,Phase I,Membrane Technology & Research Inc,50000,,JSC
Fiber-Optic Immunoassay Sensor for Monitoring Life-Support Systems,James Bechtel,,Phase I,Tacan Corp,49041,,JPL
Carbon Brush Heat Exchanger,Timothy Knowles,,Phase I,Energy Science Laboratories Inc.,50000,,JSC
Simultaneous Density and Velocity Measurements in Hypersonic Flow,F. Kevin Owen,,Phase I,Complere Inc.,48200,,LaRC
Measurement of Aerobrake Model Forces and Flow Fields,F. Kevin Owen,,Phase I,Complere Inc.,49000,,LaRC
An Unsteady Aerodynamics Model Based on Indicial Theory for Multidisciplinary Flight Simulations,Marnix F.E. Dillenius,,Phase I,Nielsen Engineering & Research Inc.,50000,,ARC
Low-Cost Inventory Management and Crew-Tracking System,Stephen Dale Smith,,Phase I,Direct Current Light,49818,,JSC
Engine Design and Testing of Metallized Propellants,Anand Malhotra,,Phase I,Truax Engineering Inc,49964,,GRC
Thermally Stable Large-Aperture High-Resolution Optics,James Stumm,,Phase I,ATK Space Systems Inc,50000,,MSFC
Electrochemical Oxidation of Organic Materials by Excited States of Metal Surfaces,Norma Frese,,Phase I,Interfacial Sciences Inc,49992,,MSFC
Augmented Penetrating Capability for Reverse Geometry X-Ray System,Richard Albert,,Phase I,Digiray Corp,50000,,LaRC
Elastomeric Polyimides,Kurt Baum,,Phase I,Fluorochem Inc,49962,,GSFC
Non-Destructice Evaluation of Solid Rocket Motor Liners Insulators and Propellants,Drusilla Thorson,,Phase I,Quantum Magnetics Inc,49873,,MSFC
Thick-Film Metallization for High-Temperature Graphite Furnaces,Andrew Intrater,,Phase I,Oryx Technology Corp,50000,,GSFC
In Situ Polymerization of a Reverse Osmosis Membrane for a Regenerative ECLSS,Craig Netwig,,Phase I,King Lee Technologies,50000,,MSFC
Integrated Risk-Analysis Tool for Schedule and Cost,Max Henrion,,Phase I,Lumina Decision Systems,49708,,KSC
Planar Integrated-Magnetic Power Components,Joy Bloom,,Phase I,E/J Bloom Assoc Inc,48625,,JPL
Inductive Sensing for a Superconducting Membrane Bolometer at 90 Kelvin,Linda Capuano,,Phase I,Conductus Inc,49946,,JPL
Flexible Artificial Intelligence TestBed,James Slater,,Phase I,Nomadic Technologies Inc,49105,,JSC
Low-Noise Fiber-Optic Gyro for Inertial Reference Applications,Ira Jeffrey Bush,,Phase I,Optiphase Inc,50000,,GSFC
Ultra-Efficient Ka-Band Power Monolithic Microwave Integrated Circuit,James Schellenberg,,Phase I,Schellenberg Assoc,49846,,JSC
