SOLID STATE LIGHT SOURCE FOR IRRIDATING AUTOLOGOUS BONE MARROW GRAFTS,RONALD IGNATUS,,Phase I,Quantum Devices Inc,70000,,HQ
SOLID STATE PHOTON EMMISION PROBE FOR APPLICATION WITH PHOTODYNAMIC THERAPY,RONALD IGNATIUS,,Phase I,Quantum Devices Inc,70000,,HQ
GAS-FED VORTEX COMBUSTION HYBRID ROCKET ENGINE,ERIC RICE,,Phase I,Orbital Technologies Corporation,70000,,MSFC
PINCH AND POWER GRIP GYROMETER,ERIC RICE,,Phase I,Orbital Technologies Corporation,70000,,JSC
SOLID STATE PHOTON EMMISION PROBE FOR APPLICATION WITH PHOTODYNAMIC THERAPY,RONALD IGNATIUS,,Phase II,Quantum Devices Inc,600000,,MSFC
GAS-FED VORTEX COMBUSTION HYBRID ROCKET ENGINE,ERIC RICE,,Phase II,Orbital Technologies Corporation,599956,,MSFC
A STRESS IMAGER INTEGRATING THERMOELASTIC AND PHOTOELASTIC STRESS ANALYSIS,BRADLEY BOYCE,,Phase II,Stress Photonics Inc,499822,Small Business Technology Transfer,LaRC
HIGH-ENERGY DENSITY CRYOGENIC MONOPROPELLANT,ERIC RICE,,Phase I,Orbital Technologies Corporation,70000,,MSFC
ROTATING SHAFT STABILITY ANALYSIS MODEL (SHASAM),ERIC RICE,,Phase I,Orbital Technologies Corporation,70000,,AFRC
A STRESS IMAGER INTEGRATING THERMOELASTIC AND PHOTOELASTIC STRESS ANALYSIS,BRADLEY BOYCE,,Phase I,Stress Photonics Inc,100000,Small Business Technology Transfer,LaRC
