Composite Heat-Pipe Concepts Using Pitch-Graphite/Metal Composites,Olin Hudson,,Phase I,DWA Composite Specialties Inc,49959,,JSC
End Fittings for Hinged and Rigid Joints between Graphite-Aluminum Tubular Elements,Olin Hudson,,Phase I,DWA Composite Specialties Inc,49745,,JSC
Fully Automatic Guidance for Rotorcraft Nap-of-the-Earth Flight, ,,Phase I,Systems Technology Inc.,49971,,ARC
Systolic Ray Tracing Processor, ,,Phase I,Systolic Technology Inc,50000,,ARC
Fuel Atomization and Air-Fuel Interactions in a Turbulent Environment,W. D. Bachalo,,Phase I,Aerometrics Inc,49990,,GRC
Tether Deployment Monitoring System,George Howard,,Phase I,Anco Engineers Inc,49940,,MSFC
Rhenium Thrusters for 2480 K Cyclic Operation,Robert Tuffias,,Phase I,Ultramet,49954,,GRC
Cost-Effective Use of Liquid Nitrogen in Cryogenic Wind Tunnels,Glen McIntosh,,Phase I,Cryolab Inc,49489,,LaRC
Molecular Beam Epitaxy of HgCdTe in Space,William Chan,,Phase I,Electro-Optek Corp,50060,,MSFC
Co-Ordinated Control of Multiple Manipulator Arms,Leonard Welsch,,Phase I,Odetics Inc,49958,,JSC
Power- and Bandwidth-Efficient Coded Modulation for Satellite-Based Communications, ,,Phase I,Stanford Telecom Inc,49963,,JPL
Internal Characterization of Dynamically Stressed Materials,R. A. Armistead,,Phase I,Advanced Research & Applications Corp,49679,,LaRC
High-Efficiency Laser for Spaceborne Lidar Applications,James Trolinger,,Phase I,Spectron Development Labs,49951,,LaRC
Improved Signal Processor Enhancement of Laser Doppler Velocimeters, ,,Phase I,Spectron Development Labs,49988,,ARC
New Process to Produce Infrared Filters,Robert Mortensen,,Phase I,Lightwave Electronics Corp,49450,,ARC
Real-Time Flutter Prediction and General Modal Parameter Identification,Michael Lyons,,Phase I,Integrated Systems Inc,50000,,LaRC
Intelligent Interface System,Morgan Caffrey,,Phase I,Computer Resource Consultants,49781,,ARC
High-Brightness Laser for Deep-Space Optical Communication,Johnny Yee,,Phase I,Lasergenics Corporation,49514,,JPL
Surface Chemical Modification of Graphite Filaments to Improve Graphite-Thermoplastic Composites, ,,Phase I,PDA Engineering,50000,,LaRC
Tubular Composite Structural Elements with Integral End Fittings,Olin Hudson,,Phase I,DWA Composite Specialties Inc,49887,,MSFC
Acoustic Failure Prevention System for Thermal Control Systems,John Mastandrea,,Phase I,NDE Technology Inc,49712,,JSC
Pattern Recognition of Satellite Cloud Imagery for Improved Weather Prediction, ,,Phase I,Chase Consulting Inc,50000,,GSFC
Positioning Beam Rider Module for Articulated Robot Manipulator, ,,Phase I,Cellulose Conversion Enterpr,50000,,GRC
Effects of Radiation Exposure on a Pyroelectric Polymer,Randall Olsen,,Phase I,Chronos Research Laboratories Inc,49329,,JPL
Zero-Gravity Direct Metabolic Calorimeter System,David Connelly,,Phase I,GEOSCIENCE LTD,48360,,ARC
Adaptive Focal Plane Processor for Image Enhancement,Leonard Welsch,,Phase I,Odetics Inc,49812,,LaRC
The Application of Cast SiC-Al to Rotary Engine Components, ,,Phase I,PDA Engineering,50000,,GRC
Advanced On-Chip Divider for Monolithic Microwave Voltage-Controlled Oscillators,Daniel Ch&#039;En,,Phase I,Microwave Monolithics Inc,50000,,JPL
Laser-Diode-Pumped Solid-State Crystalline and Glass Lasers,Robert Mortensen,,Phase I,Lightwave Electronics Corp,49470,,JPL
Fully Automated Structural Design Software System,David Herendeen,,Phase I,Universal Analytics Inc,49981,,LaRC
Synthesis and Characterization of Protective Coatings for Aerospace Materials, ,,Phase I,Mercor Inc,49684,,JPL
Body-Mounted Radiators on Space Structures,Olin Hudson,,Phase I,DWA Composite Specialties Inc,49854,,MSFC
Real-Time Autostereoscopic Display,Craig Neuswanger,,Phase I,Advanced Dimensional Displays,49789,,ARC
Continuous Noninvasive Determination of Ventricular Parameters, ,,Phase I,Bomed Medical Manufacturing Ltd,47974,,JSC
An Optical Detector for High-Sensitivity Density Measurements, ,,Phase I,Spectron Development Labs,49896,,LaRC
Nonscanning Climate Sensor,June Hoffman,,Phase I,Space Instruments Inc,49963,,GSFC
Multi-Function Fiber-Optic Magnetometer and Gradiometer, ,,Phase I,Dynamics Technology Inc,50000,,JPL
Composite Structural Elements with Integral End Fittings,Olin Hudson,,Phase II,DWA Composite Specialties Inc,497983,,MSFC
Fiber-Optic Magnetometer for Spacecraft Applications,C. Michael Dube,,Phase II,Dynamics Technology Inc,493289,,JPL
High-Temperature Oxidation-Resistant Thruster Materials,Robert Tuffias,,Phase II,Ultramet,499975,,GRC
