Turbulent Spray Combustion in Liquid Rocket Engine Components,Ashok Singhal,,Phase I,CFD Research Corporation,50000,,MSFC
Computer Model for Liquid Jet Atomization in Rocket Thrust Chambers,Ashok Singhal,,Phase I,CFD Research Corporation,50000,,MSFC
Temperature Measurement by Noncontact Method for Czochralski-Type Crystal Growth,Robert Young,,Phase I,Electro Design Manufacturing,49154,,MSFC
Rarefied-Gas Aerodynamic Bridging Procedures,Charles Fuller,,Phase I,REMTECH Inc,49979,,MSFC
Viscous Flow Field Calculations in Regeneratively Cooled Nozzles,Charles Fuller,,Phase I,REMTECH Inc,49947,,MSFC
Vacuum Plume Impingement Evaluator,Charles Fuller,,Phase I,REMTECH Inc,49921,,MSFC
Computational Methodologies for Convection-Diffusion Phase-Change Problems,C. Prakash,,Phase I,Cham of North America Inc,50000,,GRC
Laser Orientation Transceiver System,Ken Creekmore,,Phase I,Applied Research Inc,49997,,JSC
Computer Model for Liquid Jet Atomization in Rocket Thrust Chambers,Ashok Singhal,,Phase II,CFD Research Corporation,497977,,MSFC
Laser Orientation Transceiver System,Ken Creekmore,,Phase II,Applied Research Inc,367600,,JSC
Vacuum Plume Impingement Evaluator,Charles Fuller,,Phase II,REMTECH Inc,490724,,MSFC
Rarefied-Gas Aerodynamic Bridging Procedures,Charles Fuller,,Phase II,REMTECH Inc,490710,,MSFC
