Non-Intrusive Single-Point Pressure and Temperature Sensor for Aeronautical Propulsion Applications,Robert McCullough,,Phase I,Teknowlogica Inc,49948,,GRC
Computer Simulation and Design of Jet-Noise Suppressors,Hartwell Calcote,,Phase I,Aerochem Research Laboratories Inc,46033,,GRC
128 X 128 Element Indium-Gallium-Arsenide IR Detector Array at 300K,Gregory Olsen,,Phase I,Epitaxx Inc,49949,,JPL
Soluble Conducting Polymer-Based Conductive Coatings,Ronald Gumbs,,Phase I,Gumbs Assoc Inc,49922,,GRC
Visible Semiconductor Diode Lasers Grown by Hydride Vapor-Phase Epitaxy,Gregory Olsen,,Phase I,Epitaxx Inc,49030,,LaRC
General Flow-Field Analysis Methods for Helicopter Rotor Aeroacoustics,Alan Bilanin,,Phase I,Continuum Dynamics Inc.,47959,,LaRC
Aeroacoustic Analysis of Rotor/Rotor Wake Interactions,Barbara Hawk,,Phase II,Continuum Dynamics Inc.,499390,,LaRC
High-Temperature Superconductor for Passive Magnetic Bearings,Richard Cass,,Phase I,HiTc Superconco Inc,49528,,GSFC
Single Longitudinal-Mode Alexandrite Lidar Transmitter,Peter Magnani,,Phase I,Light Age Inc,50000,,GSFC
Numerical Simulation of Three-Dimensional Jet Flow and Noise,Hartwell Calcote,,Phase II,Aerochem Research Laboratories Inc,475695,,GRC
