Non-Intrusive Boundary Layer Transition Frequency Detector,Eugene Fitzgerald,,Phase I,Aptek Inc,49000,,ARC
New Machine Architecture For Structural Analysis,Sandra Andrews,,Phase I,Space Tech Co,49873,,GRC
Lightning Assessment Methodology for NASA Application,Rodney Perala,,Phase I,Electromagnetic Applications,49962,,KSC
Solid-State Oxygen-Storage Intermetallic And Alloy Development,Franklin Lynch,,Phase I,Hydrogen Consultants Inc,48560,,JSC
Centerline Imaging Module Grasping End Effectors,Nancy Lord,,Phase I,Olis Engineering,45004,,MSFC
Low Flow Arc Head Vacuum Welding,Martha Aston,,Phase I,Electric Propulsion Laboratory Inc,48518,,MSFC
Compact Gas Turbine Engine With Effective Turbine Blade Cooling,W. Gene Steward,,Phase I,Fluidtherm Engineering,42400,,GRC
An Airborne-Particle Imaging Nephelometer for Measuring Optical Phase Function,R. Paul Lawson,,Phase I,SPEC Inc.,49455,,LaRC
Integrated Humidity Carbon Dioxide And Thermal Control In An Emu Gas Stream,Michael Karpuk,,Phase I,TDA Research Inc.,50000,,ARC
Automated Nde Scanner For Cracks,Sandra Andrews,,Phase I,Space Tech Co,50000,,GSFC
Feasibility Of Numerical Thunderstorm Forecasts For Specific Ksc Work Complexes,Roger Pielke,,Phase I,Aster Inc,49955,,KSC
Multi-Band Infrared Sea-Truth Radiometric Calibrator,Donald Rottner,,Phase II,Ophir Corp,496994,,GSFC
Low-Voltage Arc Head Vacuum Welding,Martha Aston,,Phase II,Electric Propulsion Laboratory Inc,207673,,MSFC
An Airborne-Particle Imaging Nephelometer for Measuring Optical Phase Function,Donna Lawson,,Phase II,SPEC Inc.,490330,,LaRC
Multi-Band Sea Surface Temperature Infrared Radiometer,Donald Rottner,,Phase I,Ophir Corp,49995,,GSFC
