Sulfur Heat Pipe for 600 Kelvin Space Heat-Rejection System,Richard Longsderff,,Phase I,k Technology a division of Thermacore Inc.,49732,,GRC
Insoluble Coatings for Stirling-Engine Heat-Pipe Condenser Surfaces,Richard Longsderff,,Phase I,k Technology a division of Thermacore Inc.,49689,,GRC
Serpentine Manipulator,David White,,Phase I,Redzone Robotics Inc,50000,,JPL
Thin-Film Ultrasonic Transducer for Accurate Control of Fastener Clamp Load,Ian Kibblewhite,,Phase I,Ultrafast Inc,48705,,MSFC
Experimental Method for the Extraction of Magnetic-Bearing-System Rotordynamic Coefficients,John McDonald,,Phase I,Kingsbury Inc,49927,,MSFC
Joule-Thomson Cooler with Non-Clogging Active Joule-Thomson Flow Control,Gary Hordeski,,Phase I,APD Cryogenics Inc,47580.36,,JPL
Moving-Temperature-Gradient Heat-Pipe Furnace Element for Low-Gravity Crystal Growth,Richard Longsderff,,Phase I,k Technology a division of Thermacore Inc.,49657,,MSFC
Ultra Lightweight Unfurlable Radiator,Richard Longsderff,,Phase I,k Technology a division of Thermacore Inc.,50000,,JSC
Joule-Thomson Cooler with Non-Clogging Active Joule-Thomson Flow Control,Gary Hordeski,,Phase II,APD Cryogenics Inc,466289,,JPL
Ultra Lightweight Unfurlable Radiator,Richard Longsderff,,Phase II,k Technology a division of Thermacore Inc.,479630,,JSC
Insoluble Coatings for Stirling-Engine Heat-Pipe Condenser Surfaces,Richard Longsderff,,Phase II,k Technology a division of Thermacore Inc.,496712,,GRC
Serpentine Manipulator,David White,,Phase II,Redzone Robotics Inc,495930,,JPL
KC-135 Microgravity Flight Experiment of the Moving Gradient Heat Pipe Furnace,Richard Longsderff,,Phase II,k Technology a division of Thermacore Inc.,496744,,MSFC
