High-Mobility Silicon-Carbide Electronics,Daniel Sharkey,,Phase I,Advanced Technology Materials Inc,70000,,GRC
Orientation of High-Critcal-Temperature Superconductors by Optical Processing,David Hamblen,,Phase I,Advanced Fuel Research Inc.,67783,,LaRC
Expert Distributed Knowledge Systems for Aerospace Applications,Beverly Thalberg,,Phase I,Scientific Computing Assoc Inc,69978,,JSC
Metal-Monolith Catalytic Converter for Trace-Contaminant Control System,J. Kevin Burns,,Phase I,Precision Combustion Inc.,70000,,MSFC
Spaceborne Multispectral Imager,Arturo Pilar,,Phase I,Ciencia Inc.,69987,,JPL
Shape Memory Alloy Adaptive Control of Gas Turbine Engine Blade Tip Clearance,James Binch,,Phase I,Memry-Strategic Technologies,69637,,GRC
High-Temperature Transparent Furnace,Stephen Bates,,Phase I,Thoughtventions Unlimited,69996,,GRC
Vibration Sensor with Internal Signal Conditioning Based on Silicon Carbide at 350 Celsius,William McClain,,Phase I,Vibra Metrics Inc,70000,,HQ
Expert Distributed Knowledge Systems for Aerospace Applications,Beverly Thalberg,,Phase II,Scientific Computing Assoc Inc,598008,,JSC
High-Temperature Transparent Furnace,Stephen Bates,,Phase II,Thoughtventions Unlimited,600000,,GRC
Shape Memory Alloy Adaptive Control of Gas Turbine Engine Blade Tip Clearance,James Binch,,Phase II,Memry-Strategic Technologies,590507,,GRC
Unique Metal Monolith Catalytic Converter for Small Efficient Trace Contaminant Control System,J. Kevin Burns,,Phase II,Precision Combustion Inc.,579612,,MSFC
Vibration Sensor with Internal Signal Conditioning Based on Silicon Carbide at 350 Celsius,John Judd,,Phase II,Vibra Metrics Inc,564365,,HQ
