Robotic Surrogate,Mark Elling Rosheim,,Phase I,Ross-Hime Designs Inc,70000,,JSC
Low-Cost Resin-Transfer-Molding Tooling and Manufacturing Systems,Dean Vogel,,Phase I,Cirrus Design Corp,69999,,LaRC
Aspheric Figure Metrology Using a Laser Unequal-Path Interferometer with Computer-Generated Holograms,Steven Arnold,,Phase I,Diffraction Intl,66142,,GSFC
Epitaxially Grown Germanium Junction Field-Effect Transistor for Cryogenic Detectors,Timothy Childs,,Phase I,TLC Precision Wafer Technology Inc.,70000,,GSFC
Solar-Blind Aluminum-Gallium-Nitrogen Ultraviolet Detector Arrays Deposited by Atomic Nitrogen Epitaxy,Peter Chow,,Phase I,SVT Associates,67448,,GSFC
Core Memory Replacement Using MRAM,James Daughton,,Phase I,Nonvolatile Electronics Inc,69833,,GSFC
Low-Cost Electromagnetic Device for Natural-Laminar-Flow Airfoils in General Aviation Applications,Dean Vogel,,Phase I,Cirrus Design Corp,70000,,GRC
A Robotic Surrogate,Mark Elling Rosheim,,Phase II,Ross-Hime Designs Inc,578903,,JSC
Low-Cost Electromagnetic Device for Natural-Laminar-Flow Airfoils in General Aviation Applications,Dean Vogel,,Phase II,Cirrus Design Corp,600000,,GRC
Low-Cost Resin-Transfer-Molding Tooling and Manufacturing Systems,Dean Vogel,,Phase II,Cirrus Design Corp,600000,,LaRC
Solar-Blind Aluminum-Gallium-Nitrogen Ultraviolet Detector Arrays Deposited by Atomic Nitrogen Epitaxy,Peter Chow,,Phase II,SVT Associates,600000,,GSFC
Aspheric Figure Metrology Using a Laser Unequal-Path Interferometer with Computer-Generated Holograms,Steven Arnold,,Phase II,Diffraction Intl,588708,,GSFC
