Ultra-High Precision Positioner For Active And Adaptive Optics Systems,Harold Cauthen,,Phase I,System Specialists Inc,69991,,JPL
Advanced Electrode Materials For Lithuim Rechargeable Battery,J.C. Withers,,Phase I,ATS-MER LLC,70000,,GRC
A Simplified Packaging Technique For Backside-Illuminated Ccds,Gregory Teesdale,,Phase I,Photometrics Ltd,68202,,GSFC
Novel Lead-Free Solders,Roy Beal,,Phase I,Amalgamated Technologies Inc,68580,,HQ
Innovative Burst Modem For Satellite Communications,Robert Putnam,,Phase I,Sicom Inc,69974,,GRC
Autonomous Control Of Uncertain Flexible Space Systems,Link Jaw,,Phase I,Scientific Monitoring Inc.,64329,,LaRC
Economical Processing Of Carbon-Carbon Composites For Dual Use Aerospace And Commercial Applications,R.O. Loutfy,,Phase I,ATS-MER LLC,70000,,LaRC
M-Ary Extension To Gmsk Modulation,Robert Putnam,,Phase I,Sicom Inc,69806,,GRC
Novel Fullerene Bed For Low Pressure Storage System,J.C. Withers,,Phase I,ATS-MER LLC,70000,,ARC
Advanced Electrode Materials For Lithuim Rechargeable Battery,J.C. Withers,,Phase II,ATS-MER LLC,594657,,GRC
Novel Fullerene Bed for Low Pressure Storage System,J.C. Withers,,Phase II,ATS-MER LLC,600000,,ARC
Economical Processing Of Carbon-Carbon Composites For Dual Use Aerospace And Commercial Applications,R.O. Loutfy,,Phase II,ATS-MER LLC,600000,,LaRC
Pressure Sensitive Flexible Optical Filters For Surface Pressure Sensors,Angelo Yializis,,Phase I,Sigma Technologies International Inc.,70000,,ARC
Innovative Burst Modem For Satellite Communications,Robert Putnam,,Phase II,Sicom Inc,600000,,GRC
