Computation Of Aircraft Trailing Vortices,Sharyn King,,Phase I,Flow Analysis Inc,64813,,LaRC
High Resolution Intensified Color Array For Electronic Still Photography,James Woo,,Phase I,Interscience Inc,69317,,JSC
Vertical Scanning Optical Profiler For X-Ray Telescope Metrology,Manfred Grindel,,Phase I,Continental Optical Corp,68697,,MSFC
Simple Low Power Pumped Two-Phase Heat Transport System,Joseph Alario,,Phase I,ETA LLC,69842,,JSC
Body Tracking Device Using Ultrasonic Analogue To Global Positioning System,Joseph Breda,,Phase I,GENISYS Research & Development Inc,69654,,JSC
Multiple Wavelength Large Holographic Mirror,Jose Magarinos,,Phase I,Holographic Optics Inc,69490,,GSFC
High-Efficiency Diffractive Optics At High Numerical Aperture,Dean Faklis,,Phase I,Rochester Photonics Corp,69340,,LaRC
Fiber-Optic Readout Of Superconducting A/D Converter,Elie Track,,Phase I,HYPRES Inc.,69966,,JPL
Multiplexed Wide Dynamic Range Digital Squid Amplifier For Readout Of Cryogenic Detector Arrays,Elie Track,,Phase I,HYPRES Inc.,69900,,GSFC
A Waste-Cellulose-To-Edible-Mushrooms Conversion System,Morris Benjaminson,,Phase I,North Star Research Inc,55879,,SSC
Multi-Degree-Of-Freedom Reaction Force Sensors Simplify The Determination Of Aircraft Weight Balance And Inertia Properties,Louis Dommer,,Phase I,PCB Piezotronics Inc,69982,,AFRC
A Light Weight Low-Cost Dual Array Horizon Sensor Which Minimizes Radiance Errors And Mitigates Sun/Moon Effects,Kent Martin,,Phase I,Servo Corporation of America,69850,,GSFC
Room-Temperature Thermal Detector Arrays For Remote Temperature Imaging And Other Applications,Elie Track,,Phase I,HYPRES Inc.,69863,,JPL
Digital Signal Processing Elements For Narrow-Beam Wide-Band Communications,Elie Track,,Phase I,HYPRES Inc.,69879,,GRC
Feasibility Of A Free-Piston Cryocooler Compressor,Suresh Shivashankar,,Phase I,Precision Magnetic Bearing Systems Inc.,70000,,GSFC
Innovative Thermoplastic Polyimide Foam,Milton Evans,,Phase I,High Technology Systems Inc,70000,,LaRC
A Compact Ultrasonic Multi Degree-Of-Freedom Positioning System,Chris Chapman,,Phase I,Honeybee Robotics Ltd.,69779,,GSFC
Single-Mode Semiconductor Laser Utilizing Field Interference Effects For 2-5 Micron,Jie Piao,,Phase I,Epitaxial Laboratory Inc,70000,,JPL
Monolithic Square Bolometer Arrays For Airborne Astronomy And Other Applications,Elie Track,,Phase I,HYPRES Inc.,69917,,GSFC
World Wide Web Three-Dimensional Browser For &quot;Surfing The Internet&quot;,Paul Patti,,Phase I,Analysis & Simulation Inc,69928,,JSC
A 16-bit Optically Coupled Analog-to-Digital Converter Module,Elie Track,,Phase II,HYPRES Inc.,599990,,JPL
Multiplexed Wide Dynamic Range Digital SQUID Amplifier for Readout of Cryogenic Detector Arrays,Elie Track,,Phase II,HYPRES Inc.,599693,,GSFC
Room-Temperature Thermal Detector Arrays For Remote Temperature Imaging And Other Applications,Elie Track,,Phase II,HYPRES Inc.,599940,,JPL
Body Tracking Device Using Ultrasonic Analogue To Global Positioning System,Joseph Breda,,Phase II,GENISYS Research & Development Inc,595546,,JSC
Multiple Wavelength Large Holographic Mirrors,Jose Magarinos,,Phase II,Holographic Optics Inc,571736,,GSFC
Multi-Degree-Of-Freedom Reaction Force Sensors Simplify the Determination of Aircraft Weight Balance and Inertia Properties,Louis Dommer,,Phase II,PCB Piezotronics Inc,599718,,AFRC
A Light Weight High Accuracy Miniature Dual Earth Sensor,Kent Martin,,Phase II,Servo Corporation of America,600000,,GSFC
Digital Signal Processing Elements For Narrow-Beam Wide-Band Communications,Elie Track,,Phase II,HYPRES Inc.,599996,,GRC
High Resolution Intensified Color Array For Electronic Still Photography,James Woo,,Phase II,Interscience Inc,585958,,JSC
FOVEAL SENSOR AND IMAGE PROCESSOR PROTOTYPE,DONALD HESS,,Phase I,Amherst Systems Inc,99992,Small Business Technology Transfer,LaRC
FOVEAL SENSOR AND IMAGE PROCESSOR PROTOTYPE,DONALD HESS,,Phase II,Amherst Systems Inc,495943,Small Business Technology Transfer,LaRC
Vertical Scan Optical Profiler For X-Ray Mirror Metrology,Manfred Grindel,,Phase II,Continental Optical Corp,589787,,MSFC
