High-Performance Flexible Heat Pipes,Richard Longsderf,,Phase I,k Technology a division of Thermacore Inc.,50000,,JSC
Heat-Pipe Cooling of Thrust Chambers,Richard Longsderf,,Phase I,k Technology a division of Thermacore Inc.,49000,,GRC
Heat Transport Across Structural Boundaries,Richard Longsderf,,Phase I,k Technology a division of Thermacore Inc.,50000,,MSFC
Oculometer and Automated Speech Interface System, ,,Phase I,Analytics Inc,50000,,JPL
Predicting Thermo-Mechanical Responses of Metal Matrix Composites,B. Walter Rosen,,Phase I,Materials Sciences Corp,47000,,GSFC
High-Performance Flexible Heat Pipes,Richard Longsderf,,Phase II,k Technology a division of Thermacore Inc.,492500,,JSC
Heat Transport Across Structural Boundaries,Richard Longsderf,,Phase II,k Technology a division of Thermacore Inc.,499000,,MSFC
Oculometer and Automated Speech Interface System, ,,Phase II,Analytics Inc,442000,,JPL
Predicting Thermo-Mechanical Responses of Metal Matrix Composites,B. Walter Rosen,,Phase II,Materials Sciences Corp,274925,,GSFC
Heat-Pipe Cooling of Thrust Chambers,Richard Longsderf,,Phase II,k Technology a division of Thermacore Inc.,500000,,GRC
