Wireless Headset,Charles Lau,,Phase I,Telenexus,45000,,KSC
System to Create Models of Fluid Flow Phenomena,C. Lamar Wiginton,,Phase I,Mathematical Research Inc,49981,,ARC
Water Quality Monitor,Bernie Bernard,,Phase I,OI  Corp,48136,,JSC
Improved Mirror Facet for Space Applications,David White,,Phase I,Solar Kinetics Inc,49662,,GRC
DFT Algorithms for Bit Serial GaAs Processor Architectures,Clayton A. T. Nyberg,,Phase I,Systems & Processes Engineering Corporation,49940,,GSFC
Space-Rated Nutrient Delivery and Root Support System,H. W. Scheld,,Phase I,Phyto Resource Research Inc,50000,,KSC
Adaptive Schemes for Complex Subsonic Three-Dimensional Flow Problems in Arbitrary Domains,J. Tinsley Oden,,Phase I,Computational Mechanics Company Inc,47387,,MSFC
Aircraft Flight Testing Techniques and Instrumentation,Larry Bird,,Phase I,North American Aerospace Corp,45000,,ARC
Telerobotic Digital Controller System,Richard Brown,,Phase I,The Navtrol Co Inc,50000,,GSFC
GaAs RISC Array Processor,Clayton A. T. Nyberg,,Phase II,Systems & Processes Engineering Corporation,497972,,GSFC
Adaptive Schemes for Complex Subsonic Three-Dimensional Flow Problems in Arbitrary Domains,J. Tinsley Oden,,Phase II,Computational Mechanics Company Inc,489099,,MSFC
Telerobotic Digital Controller System,Richard Brown,,Phase II,The Navtrol Co Inc,492388,,GSFC
Wireless Headset Network,Charles Lau,,Phase II,Telenexus,241718,,KSC
Improved Mirror Facet for Space Applications,David White,,Phase II,Solar Kinetics Inc,494227,,GRC
Space-Rated Nutrient Delivery and Root Support System,H. W. Scheld,,Phase II,Phyto Resource Research Inc,499910,,KSC
Medical Microbiology Test Station for Microgravity,Dennis Ray Schneider,,Phase I,Austin Biological Laboratories,42000,,JSC
