Language Engineering In Speech Recognition,William Meisel,,Phase I,Speech Systems Inc,49740,,JSC
Real Time Monitoring Of Material Degradation Of Fiber Composites,P. C. Riccardella,,Phase I,Structural Integrity Assoc Inc,49892,,GRC
Visual Motion For Rotorcraft Guidance,Betty Lester,,Phase I,Advanced Decision Systems,49943,,ARC
Mixed Hafnium-Tantalum Carbide Rocket Thruster Development,Jonathan Wilson,,Phase I,Refractory Composites Inc.,49350,,GRC
Passive Propeller Control,P.B. MacCready,,Phase I,AeroVironment Inc,48538,,ARC
High Efficiency Backlight For Color Lcd Displays,Francis Chang,,Phase I,Amerasia Technology Inc,49100,,JSC
Unconventional Long-Life Chemical Rocket Thrust Chambers,Robert Tuffias,,Phase I,Ultramet,49150,,GRC
Fuzzy Cognitive Maps For Mission Planning And Flight Control,James Bechtel,,Phase I,Tacan Corp,49438,,JSC
Low Noise Infrared Detector Readout Arrays For 2 Kelvin,Steven Tribble,,Phase I,Amber Engineering Inc,49382,,JPL
Spacecraft On-Board Information Extraction Computer,John Stuart,,Phase I,Irvine Sensors Corp,49852,,JPL
Nonlinear Control Of Shear Flows,David Nixon,,Phase I,Nielsen Engineering & Research Inc.,50000,,LaRC
Narrowband Tunable Spectral Filters,Phoebe Chang,,Phase I,Aurora Assoc,48994,,LaRC
Electronically Tuned Imaging Spectrometer With Variable Resolution,Phoebe Chang,,Phase I,Aurora Assoc,49960,,JPL
Compact Optical Air Data System For Flight Test Application,Philip Rogers,,Phase I,Optical Air Data Systems-L.P.,48830,,ARC
Growth Of Lead Carbonate Scintillator Crystals,Paul Sclichta,,Phase I,Crystal Research Inc.,49868,,GSFC
Thermo-Chemical-Structural Analysis Of Carbon-Phenolics With Pore Pressure And Pyrolysis Effects,Lynn Sheridan,,Phase I,PDA Engineering,50000,,GRC
In-Situ Chemical Identification Of Size Segregated High Altitude Aerosol Particles,Margo Bowers,,Phase I,Femtometrics Inc,49934,,LaRC
Continuous Real-Time Monitoring Of Size And Mass Of Particles Generated By Gas-Grain Conversion Processes,Margo Bowers,,Phase I,Femtometrics Inc,49934,,ARC
High Power High Repetition Rate Diode-Pumped Solid State Laser Transmitter,James Francis,,Phase I,Lightwave Electronics Corp,49195,,GSFC
Applications Of Artificial Intelligence To Nasp,Marijose Tartt,,Phase I,G&C Systems Inc,48500,,ARC
Artificial Intelligence Techniques For Scheduling Shuttle Processing,Andrea Henke,,Phase I,Stottler Henke Associates Inc.,50000,,KSC
Fast Reliable Electro-Optic Modulation Technology,Douglas Tanimota,,Phase I,Laser Power Corp,49847,,JPL
Hand Physiological Evaluation And Countermeasure Device,Karen Comisso,,Phase I,Loredan Biomedical Inc,49650,,JSC
Optical Multiple Access Techniques For On-Board Routing,Antonio Mendez,,Phase I,Mendez R&D Assoc,49459,,GRC
Design Modification Of The Wiped-Film Rotating-Disk Evaporator For The Reclamation Of Water At Zero Gravity,Badawi Tleimat,,Phase I,Water Reuse Technology,44854,,ARC
Software For Multidisciplinary System Optimization,Laurie Eason,,Phase I,Modeling & Computing Services,50000,,LaRC
Human-Machine Interaction In Human Assisted Robotic Systems,Dan Greenwood,,Phase I,Netrologic Inc,49814,,LaRC
An Underwater Remotely Operated Vehicle To Test Enhanced Human Interfaces,Phillip Ballou,,Phase I,Deep Ocean Engineering Inc,49875,,ARC
