Millimeter Wave Doppler Radar for Detection of Precipitation,Steven Ladd,,Phase I,Pulse Technology Inc,49880,,GSFC
Design Study To Implement Nastran On Massively Parallel Computers,Robert Brugh,,Phase I,RPK Corp,47734,,GSFC
Hybrid Analytical/Intelligent Approach To Fault-Tolerant Control Of Large Space Structures,John Curtis,,Phase I,Automation Concepts & Systems Inc,49995,,LaRC
Expert System Interface for Knowledge Base Image Classification and GIS Modeling,Lawrie Jordan,,Phase I,Erdas Inc,49675,,SSC
Recharcheable Zinc-Air Cell,Glenn Merry,,Phase I,Matsi Inc,49200,,JSC
Innovative Fiber Laser Furnace,Wayne Penn,,Phase I,Penn Laboratories Inc,50000,,GRC
Knowledge-Based Tools For The Conceptual Design Of Human-Machine Systems,Gian Cacioppo,,Phase I,Search Technology Inc,47550,,LaRC
Innovative Fiber Laser Furnace,Wayne Penn,,Phase II,Penn Laboratories Inc,328984,,GRC
Sealed Rechargeable Zinc-Oxygen Batteries,Glenn Merry,,Phase II,Matsi Inc,461400,,JSC
Expert Image-Classification System Utilizing Innovative Knowledge Engineering,Nick Faust,,Phase II,Erdas Inc,487751,,SSC
Atmospheric 95-GHz Doppler Radar,Steven Ladd,,Phase II,Pulse Technology Inc,499712,,GSFC
