High Frame Rate Imaging Spectrometer For Rocket Plume Diagnostics,Charles Stanich,,Phase I,Daedalus Enterprises Inc,49697,,SSC
Real-Time Object And Robot End-Effector Tracking System,Robert McCarthy,,Phase I,KMS Fusion Inc,49835,,GSFC
Growth Of Nd:Yvo4 Crystals For Laser Technology,George Keros,,Phase I,Photon Physics Inc,49701,,JPL
Intelligent Robot/Sensor Operations Planning Systems,Heidi Jacobus,,Phase I,Cybernet Systems Corporation,50000,,JPL
Robotic Guidance Systems Using Specialized And Generalized Targets,Heidi Jacobus,,Phase I,Cybernet Systems Corporation,49982,,MSFC
Virtual Reality User-Interface For Actualizing A Robot (Virtual-Robot) System,Robert McCarthy,,Phase I,KMS Fusion Inc,49910,,MSFC
Amtec Condenser Design for Zero-G Operation,Thomas Hunt,,Phase I,Advanced Modular Power Systems Inc,49958,,JPL
Computer Based Information Management System For Jpl Image Data In Education,Heidi Jacobus,,Phase I,Cybernet Systems Corporation,50000,,JPL
Laboratory Demonstration Of Innovative Compact 3-D Imaging Sensor,Charles Stanich,,Phase I,Daedalus Enterprises Inc,49920,,JSC
Amtec Condenser Design for Zero-Gravity Operation,Thomas Hunt,,Phase II,Advanced Modular Power Systems Inc,499787,,JPL
Intelligent Robot and Sensor Operations Planning Systems,Heidi Jacobus,,Phase II,Cybernet Systems Corporation,495269,,JPL
