Magnetostrictive Bi-Directional Linear Actuator,Jacqueline Haynes,,Phase I,Intelligent Automation Inc.,49932,,LaRC
Versatile Holographic Optical Element for High-Resolution Spectroscopy,Andrew Endal,,Phase I,Applied Research Corp,49636,,GSFC
Redeposition of High-TC Films on Diamond for Infrared Detectors,T. Venkatesan,,Phase I,Neocera Inc,49995,,GSFC
Comprehensive Modal-Significance Analysis Package,Daniel Florio,,Phase I,Swales & Assoc Inc,49783,,GSFC
Geostationery Optical System for Use as an Imager or Infrared Sounder,Robert Crabbs,,Phase I,Research Support Instruments Inc.,49958,,MSFC
Monitoring Immune Function by Detection of Cytokines in Human Saliva,Lawrence Tamarkin,,Phase I,Assay Research Inc,49982,,JSC
Ka-Band Antennas for Personal Communications,Maureen Fitzgerald,,Phase I,Frederick Herold & Assoc Inc,47517,,JPL
Modeling Debris Cloud Formation and Hydrodynamics,Marvin Alme,,Phase I,Alme & Assoc,49944,,MSFC
Compact Heat Exchangers for Ammonia Refrigerant,Daniel Flynn,,Phase I,DRF R&D Inc,48566,,GSFC
Zinc-Telluride: Vanadium for Optical Information Processing in the Wavelengh Range 0.6 to 1.3 microns,R.G. Rosemeier,,Phase I,Brimrose Corporation of America,50000,,GRC
An Active System for Determination of Green-Leaf Area-Index from Reflectance Measurements,Gerald Ressler,,Phase I,Ressler Assoc Inc,49912,,GSFC
Calcium Absorption Using Stable Isotopes and Saliva,Larry Moore,,Phase I,Eastern Analytical Inc,49990,,JSC
Fast Three-Dimensional Imaging,Jacqueline Haynes,,Phase I,Intelligent Automation Inc.,49985,,MSFC
New Digital Radiography System for Non-Destructive Testing,Charles Wrigley,,Phase I,Quantex Corp,49500,,LaRC
Fast Three-Dimensional Imaging,Jacqueline Haynes,,Phase II,Intelligent Automation Inc.,476348,,MSFC
Zinc-Telluride: Vanadium for Optical Information Processing in the Wavelengh Range 0.6 to 1.3 microns,R.G. Rosemeier,,Phase II,Brimrose Corporation of America,500000,,GRC
Comprehensive Modal-Significance Analysis Package,Daniel Florio,,Phase II,Swales & Assoc Inc,488665,,GSFC
Compact Heat Exchangers for Ammonia Refrigerant,Daniel Flynn,,Phase II,DRF R&D Inc,481660,,GSFC
Calcium Absorption Using Stable Isotopes and Saliva,Larry Moore,,Phase II,Eastern Analytical Inc,561650,,JSC
Redeposition of High-TC Films on Diamond for Infrared Detectors,T. Venkatesan,,Phase II,Neocera Inc,499094,,GSFC
Active Green Leaf Analysis with Airborne Spectrometer,Gerald Ressler,,Phase II,Ressler Assoc Inc,522996,,GSFC
Distributed Cataloging System for Heterogeneous Data and Software Centers,Ravindra Kulkarni,,Phase II,Grafikon Ltd,499107,,GSFC
Versatile Holographic Optical Element for High-Resolution Spectroscopy,Andrew Endal,,Phase II,Applied Research Corp,494137,,GSFC
New Digital Radiography System for Non-Destructive Testing,Charles Wrigley,,Phase II,Quantex Corp,500000,,LaRC
Multi-Beam Diode-Laser Radar for Non-Visual Sensing,Hyo Sang Lee,,Phase I,SCIENCE AND ENGINEERING SERVICES INC,49835.17,,JPL
Distributed Cataloging System for Heterogeneous Data and Software Centers,Ravindra Kulkarni,,Phase I,Grafikon Ltd,49993,,GSFC
