Diaphragm Actuator for a Stirling Micro-Refrigerator,Elaine Mather,,Phase I,Sunpower Inc.,49941,,GSFC
Stability and Transition on Swept Wings,TH. Herbert,,Phase I,Dynaflow Inc,49749,,ARC
Transition and Heat Transfer in Gas Turbines,TH. Herbert,,Phase I,Dynaflow Inc,49751,,GRC
Intelligent Digital Proximity Sensor for Robotic Applications,Edward Laskowski,,Phase I,EL Assoc,48197,,MSFC
Validation of Flight-Critical Systems by an Automatic Test-Procedure Generation Tool,Timothy Ringler,,Phase I,Frontier Technology Inc,49186,,ARC
Electrochemical Ozone Generator for In Situ Sterilization of Potable Water and Wastewater,William Simpson,,Phase I,Life Systems Inc,49949,,JSC
Traction Drives for Reaction-Free and Momentum-Balanced Systems,Roger Klein,,Phase I,Nastec Inc.,48759,,GRC
Producing Foils from Direct-Cast Titanium Alloy Strip,Lloyd Hackman,,Phase I,Ribbon Technology Corp,49857,,LaRC
Producing Foils from Direct-Cast Titanium Alloy Strip,Lloyd Hackman,,Phase II,Ribbon Technology Corp,495815,,LaRC
Stability and Transition on Swept Wings,TH. Herbert,,Phase II,Dynaflow Inc,867368,,ARC
Validation of Flight-Critical Systems by an Automatic Test-Procedure Generation Tool,Timothy Ringler,,Phase II,Frontier Technology Inc,499701,,ARC
More Efficient Controller,Robert Schmidt,,Phase II,Orbital Research Inc.,499999,,LaRC
Traction Drives for Reaction-Free and Momentum-Balanced Systems,Roger Klein,,Phase II,Nastec Inc.,499420,,GRC
Transition and Heat Transfer in Gas Turbines,TH. Herbert,,Phase II,Dynaflow Inc,482307,,GRC
More Efficient Controller,Robert Schmidt,,Phase I,Orbital Research Inc.,50000,,LaRC
