Electro-Optical and Optical Nodes for Integrated Data Systems,John Dove,,Phase I,Dove Electronics Inc,48313,,LaRC
Unified Numerical Approach for Rotorcraft Aerodynamics,Michael King,,Phase I,Flow Analysis Inc,49771,,ARC
Integrated Health Monitoring System for Composite Structures,David Gerardi,,Phase I,Innovative Dynamics Inc.,50000,,JPL
Sub-Wavelength Structured Surfaces for Infrared Optical Elements,Dean Faklis,,Phase I,Rochester Photonics Corp,49993,,JPL
Wide-Dynamic-Range Digital Superconducting Quantum Interference Device Amplifiers for Multiplexing and Readout of Cryogenic Detector Arrays,Hollis Caswell,,Phase I,HYPRES Inc.,49307,,GSFC
High-Resolution Ultra-Low Power Superconducting Analog-to-Digital Converter,Hollis Caswell,,Phase I,HYPRES Inc.,49891,,JPL
Novel Polymer Electrolytes for Lithium Rechargeable Batteries,Terje Skotheim,,Phase I,Moltech Corp,49992,,JPL
Infrared-Transmissive Diamond-Like Carbon Films for Protecting High-Temperature Superconducting Detectors,Rama Rao,,Phase I,Excel Superconductor Inc,50000,,GSFC
High-Power-Density Piezoelectric Actuator for Noise and Vibration Reduction,Richard Binder,,Phase I,PCB Piezotronics Inc,45210,,LaRC
Synthesis of Reactive Toughening Polymers Based on NASA LaRC Thermoplastic Polyimides,Stephen Terney,,Phase I,Imitec Inc.,50000,,LaRC
Multi-Layered Optical Data Storage,James Strickler,,Phase I,Strickler Optical Technology Inc,50000,,JSC
Diffractive Optics Technology for Earth Observing Instruments in Geostationary Orbit,Dean Faklis,,Phase I,Rochester Photonics Corp,49882,,MSFC
Cableless Joint for Space Robotic Manipulators,Chris Chapman,,Phase I,Honeybee Robotics Ltd.,49947,,GSFC
Integrated Criteria and Synthesis for Multivariable Flight Control,Edmund Rynaski,,Phase I,EGR Assoc,49857,,LaRC
Compact Laser Microprobe Mass Spectrometer,Terje Skotheim,,Phase I,Moltech Corp,49986,,KSC
Unified Numerical Approach for Rotorcraft Aerodynamics,Michael King,,Phase II,Flow Analysis Inc,492102,,ARC
High-Resolution Ultra-Low-Power Superconducting Analog-to-Digital Converter,Hollis Caswell,,Phase II,HYPRES Inc.,494630,,JPL
Infrared-Transmissive Diamond-Like Carbon Films for Protecting High-Temperature Superconducting Detectors,Rama Rao,,Phase II,Excel Superconductor Inc,486486,,GSFC
High-Power-Density Piezoelectric Actuator for Noise and Vibration Reduction,Louis Dommer,,Phase II,PCB Piezotronics Inc,500000,,LaRC
Cableless Joints Using Geared Flex Rings,Chris Chapman,,Phase II,Honeybee Robotics Ltd.,475276,,GSFC
Toughened Thermoset Resins by Reactive LaRC-IA and LaRC-IAX Polyimides,Stephen Terney,,Phase II,Imitec Inc.,500000,,LaRC
Diffractive Optics for Earth Observing Instruments in Geostationary Orbit,Dean Faklis,,Phase II,Rochester Photonics Corp,492203,,MSFC
Integrated Health Monitoring System for Composite Structures,David Gerardi,,Phase II,Innovative Dynamics Inc.,500000,,JPL
Sub-Wavelength Structured Surfaces for Infrared Optical Elements,Dean Faklis,,Phase II,Rochester Photonics Corp,462298,,JPL
